http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
HMS Prince (1670),50.9016
HMS Prince (1670),53.34
プリンス (戦列艦・初代),53.34
HMS Prince (1670),53.34
HMS Prince (1670),53.34
HMS Royal Sovereign (1701),53.0352
ロイヤル・ソブリン (戦列艦・2代),53.0352
HMS Royal Sovereign (1701),53.0352
HMS Royal Sovereign (1701),53.0352
M816 Wrecker,9.0424
MillenWorks Light Utility Vehicle,5.21
PL-5,3.128
PL-5,3.128
PL-5,3.128
PL-5 (ミサイル),3.128
PL-5,3.128
PL-5,3.128
Piranha IV,7.24
Piranha IV,7.24
Smith & Wesson 22,0.27432
Smith & Wesson Model 22,0.27432
Smith & Wesson Model 22,0.27432
史密斯威森M22左輪手槍,0.27432
VKS (sniper),1.12
VKS sniper rifle,1.12
Karabin WSSK Wychłop,1.12
Выхлоп (снайперская винтовка),1.12
VKS狙擊步槍,1.12
WZT-3 (vehículo de ingenieros),7.1
WZT,7.1
WZT-3,7.1
WZT-3 (vehículo de ingenieros),8.3
WZT,8.3
WZT-3,8.3
KS-19,9.45
100 mm air defense gun KS-19,9.45
100 mm armata przeciwlotnicza KS-19,9.45
100-мм зенитная пушка КС-19,9.45
KS-19式100毫米高射炮,9.45
15-cm-Kanone 18,8.6
15 cm K 18,8.6
15cm K 18,8.6
15 cm Kanone 18,8.6
15 cm Kanone 18,8.6
15 cm Kanone 18,8.6
17-cm-Kanone 18,8.53
17-cm Kanone 18,8.53
17 cm Kanone 18,8.53
17cm K 18,8.53
17 cm Kanone 18,8.53
17 cm Kanone 18 in Mörserlafette,8.53
17 cm K.Mrs.Laf,8.53
1897 pattern British infantry officer's sword,0.83
Canon de 380 mm/45 Modèle 1935,17.882
380 mm/45 Modèle 1935 gun,17.882
Морское орудие 380 mm/45 Modèle 1935,17.882
Astra 900,0.308
Astra Modelo 900,0.308
Astra M900,0.308
Astra Model 900,0.308
アストラM900,0.308
Pistolet Astra 900,0.308
阿斯特拉M900手槍,0.308
Bergetiger,6.316
Bergetiger,6.316
Bergepanzer Tiger,6.316
Breda M35,3.34
Breda 20/65 Mod. 1935,3.34
ブレダM35 20mm機関砲,3.34
Breda Model 35,3.34
20 mm armata przeciwlotnicza 20/65 Modello 35 Breda,3.34
Breda Model 35,3.34
20 mm/65 Breda Mod. 1935/1939/1940,3.34
布雷達M35機炮,3.34
La Boudeuse,40.6
Boudeuse (1766),40.6
French frigate Boudeuse (1766),40.6
Grizzly Big Boar,1.1557
HMS Howe (1815),62.484
HMS St Vincent (1815),62.484
JS 9 mm,0.45
CS/LS2型冲锋枪,0.45
M1 Pack 75 mm,3.68
Obusier M116,3.68
M116 75mm榴弾砲,3.68
M116 howitzer,3.68
75 mm haubica M1A1,3.68
75-мм гаубица M116,3.68
M116榴彈炮,3.68
MX-8 Armored Escort Vehicle,5.3
Classe Nelson (vaisseau de ligne),62.484
ネルソン級戦列艦,62.484
Nelson-class ship of the line,62.484
Panzerkampfwagen E-100,10.27
E-100,10.27
Panzer E-100,10.27
E-100,10.27
Panzerkampfwagen E-100,10.27
E-100,10.27
Panzerkampfwagen E-100,10.27
E-100超重型坦克,10.27
プリンセス・シャーロット級戦列艦,60.0456
Princess Charlotte-class ship of the line,60.0456
Raupenschlepper Ost,4.425
Raupenschlepper Ost,4.425
Raupenschlepper Ost,4.425
